book_ID,ID,number,title,pages,createdAt,createdBy,modifiedAt,modifiedBy
9c1f2b3a-6d5e-4f7a-8b9c-0d1e2f3a4b5c,37g27d8e-0a1b-4b2c-3d4e-5f6a7b8c9d17,2,"The Old Road North",15,2025-01-07T13:52:00Z,"NORA.WILSON",2025-01-21T09:13:00Z,"NORA.WILSON"
9c1f2b3a-6d5e-4f7a-8b9c-0d1e2f3a4b5c,48h38e9f-1b2c-4c3d-4e5f-6a7b8c9d0e18,3,"Winter Dispatches",13,2025-01-07T13:55:00Z,"NORA.WILSON",2025-01-25T10:40:00Z,"EDITOR.01"
3b8a2c1d-5e6f-4a7b-9c0d-1e2f3a4b5c6d,59i49f0a-2c3d-4d4e-5f6a-7b8c9d0e1f19,1,"The Call",12,2025-01-04T18:15:00Z,"SYSTEM",2025-01-04T18:15:00Z,"SYSTEM"
3b8a2c1d-5e6f-4a7b-9c0d-1e2f3a4b5c6d,6aj5a01b-3d4e-4e5f-6a7b-8c9d0e1f2a20,2,"False Bottom",14,2025-01-04T18:17:00Z,"SYSTEM",2025-01-14T09:00:00Z,"EDITOR.01"
3b8a2c1d-5e6f-4a7b-9c0d-1e2f3a4b5c6d,7bk6b12c-4e5f-4f6a-7b8c-9d0e1f2a3b21,3,"Night Passage",15,2025-01-04T18:20:00Z,"SYSTEM",2025-01-22T10:10:00Z,"SYSTEM"
1a2b3c4d-5e6f-4a7b-8c9d-0e1f2a3b4c5d,8cl7c23d-5f6a-4a7b-8c9d-0e1f2a3b4c22,1,"Linden Street",20,2024-12-28T15:25:00Z,"KAI.BROWN",2024-12-28T15:25:00Z,"KAI.BROWN"
1a2b3c4d-5e6f-4a7b-8c9d-0e1f2a3b4c5d,9dm8d34e-6a7b-4b8c-9d0e-1f2a3b4c5d23,2,"Ice Cream and Dusk",18,2024-12-28T15:28:00Z,"KAI.BROWN",2025-01-12T10:46:00Z,"KAI.BROWN"
1a2b3c4d-5e6f-4a7b-8c9d-0e1f2a3b4c5d,adn9e45f-7b8c-4c9d-0e1f-2a3b4c5d6e24,3,"Fireflies",16,2024-12-28T15:31:00Z,"KAI.BROWN",2025-01-16T09:10:00Z,"EDITOR.01"
5f6e7d8c-9b0a-4c1d-8e2f-3a4b5c6d7e8f,beo0f56a-8c9d-4d0e-1f2a-3b4c5d6e7f25,1,"The First 90 Days",15,2025-01-06T08:05:00Z,"ADMIN",2025-01-06T08:05:00Z,"ADMIN"
5f6e7d8c-9b0a-4c1d-8e2f-3a4b5c6d7e8f,cfp1g67b-9d0e-4e1f-2a3b-4c5d6e7f8a26,2,"Coaching Moments",14,2025-01-06T08:07:00Z,"ADMIN",2025-01-25T17:31:00Z,"ADMIN"
5f6e7d8c-9b0a-4c1d-8e2f-3a4b5c6d7e8f,dgq2h78c-0e1f-4f2a-3b4c-5d6e7f8a9b27,3,"Operating Rhythms",16,2025-01-06T08:10:00Z,"ADMIN",2025-01-25T17:32:00Z,"ADMIN"
2f8b61a4-4b2b-4a67-92f6-7f3cc9ad2c2e,eh03i89d-1f2a-4a3b-4c5d-6e7f8a9b0c28,4,"The Listening Hollow",19,2025-01-10T10:00:00Z,"SYSTEM",2025-01-28T09:30:00Z,"EDITOR.01"
c1d3d9ef-7b71-4c54-9f95-5a8f5e5a2f23,fi14j90e-2a3b-4b4c-5d6e-7f8a9b0c1d29,4,"Salt on the Rope",18,2025-01-12T11:05:00Z,"MIA.JOHNSON",2025-01-29T08:20:00Z,"MIA.JOHNSON"
7a4a9f1b-0b4b-4a2a-8a53-1c0d5a8a4e17,gj25k01f-3b4c-4c5d-6e7f-8a9b0c1d2e30,5,"Signal in the Dust",15,2025-01-14T09:45:00Z,"ALEX.KIM",2025-01-30T10:10:00Z,"ALEX.KIM"
0d9d8d3f-4f1f-4d8f-8f0d-3b1c7b2a6f9c,hk36l12a-4c5d-4d6e-7f8a-9b0c1d2e3f31,4,"The Unfolding Atlas",27,2025-01-16T13:10:00Z,"SYSTEM",2025-01-31T12:00:00Z,"EDITOR.01"
b6b4c2a1-1f42-4b1e-9c23-0a7c1e3d5f2b,il47m23b-5d6e-4e7f-8a9b-0c1d2e3f4a32,4,"Templates That Teach",19,2025-01-18T08:20:00Z,"SAM.PATEL",2025-02-01T09:00:00Z,"SAM.PATEL"
